순번,시험명,시험구분,회차,시험일,시험시작시간,접수시작일,접수마감일,시험장소,합격자발표일,시험유형
649,ADsP(국가공인 데이터분석 준전문가),일반검정,20,2019-03-09,10:00:00,2018-12-27,2019-02-18,제20회 ADsP: (강원) 고사장 폐쇄,2019-04-09,필기
650,ADsP(국가공인 데이터분석 준전문가),일반검정,20,2019-03-09,10:00:00,2018-12-27,2019-02-18,제20회 ADsP: (광주) 광주상공회의소 지하 1층,2019-04-09,필기
651,ADsP(국가공인 데이터분석 준전문가),일반검정,20,2019-03-09,10:00:00,2018-12-27,2019-02-18,"제20회 ADsP: (대구) 영남이공대 천마스퀘어 1층 3,5,6 강의실",2019-04-09,필기
652,ADsP(국가공인 데이터분석 준전문가),일반검정,20,2019-03-09,10:00:00,2018-12-27,2019-02-18,"제20회 ADsP: (대전) 예람인재교육센터 2F 소망룸, 사랑룸 3F 성공룸, 4F 비전룸",2019-04-09,필기
653,ADsP(국가공인 데이터분석 준전문가),일반검정,20,2019-03-09,10:00:00,2018-12-27,2019-02-18,"제20회 ADsP: (서울) 동국대학교 문화관2~4층[0200001~0201147), 사회과학/경영관 3~4층(0201148~)",2019-04-09,필기
654,SQLP(국가공인 SQL 전문가),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLP : (서울) 동국대학교 문화관 2층,2019-04-16,필기
655,SQLP(국가공인 SQL 전문가),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLP : (대전) 우송대학교 동캠퍼스 국제경영센터 2층 201호,2019-04-16,필기
656,SQLP(국가공인 SQL 전문가),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLP : (부산) 벡스코 제2전시장 1층 121호,2019-04-16,필기
657,SQLP(국가공인 SQL 전문가),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLP : (인천) 인하공업전문대학 5호관 3층 309호,2019-04-16,필기
658,SQLP(국가공인 SQL 전문가),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLP : (강원) 고사장 폐쇄,2019-04-16,필기
659,SQLP(국가공인 SQL 전문가),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLP : (광주) 광주상공회의소 지하1층 1강의실,2019-04-16,필기
660,SQLP(국가공인 SQL 전문가),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLP : (대구) 영남이공대 천마스퀘어 1층 3강의실,2019-04-16,필기
661,SQLD(국가공인 SQL 개발자),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,"제32회 SQLD : (서울) 동국대학교 문화관2~4층(0320001~0321147), 사회과학/경영관 3층(0321148~)",2019-04-16,필기
662,SQLD(국가공인 SQL 개발자),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLD : (부산) 벡스코 제2전시장 1층 121~124호,2019-04-16,필기
663,SQLD(국가공인 SQL 개발자),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLD : (대전) 우송대학교 동캠퍼스 국제경영센터 2층 202~204호,2019-04-16,필기
664,SQLD(국가공인 SQL 개발자),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLD : (인천) 인하공업전문대학 5호관 3층 310 ~ 318 호,2019-04-16,필기
665,SQLD(국가공인 SQL 개발자),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLD : (강원) 고사장 폐쇄,2019-04-16,필기
666,SQLD(국가공인 SQL 개발자),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,제32회 SQLD : (광주) 광주상공회의소 지하1층 1강의실,2019-04-16,필기
667,SQLD(국가공인 SQL 개발자),일반검정,32,2019-03-16,10:00:00,2018-12-27,2019-02-25,"제32회 SQLD : (대구) 영남이공대 천마스퀘어 1층 3,5,6강의실",2019-04-16,필기
668,DAP(국가공인 데이터아키텍처 전문가),일반검정,43,2019-03-23,09:00:00,2018-12-27,2019-03-04,제43회 DAP: (대전) 예람인재교육센터 2층,2019-04-23,필기
669,DAP(국가공인 데이터아키텍처 전문가),일반검정,43,2019-03-23,09:00:00,2018-12-27,2019-03-04,제43회 DAP: (부산) 부산디자인센터 3층 세미나실A,2019-04-23,필기
670,DAP(국가공인 데이터아키텍처 전문가),일반검정,43,2019-03-23,09:00:00,2018-12-27,2019-03-04,제43회 DAP: (서울) 동국대학교  문화관 3층 ,2019-04-23,필기
671,DAsP(데이터아키텍처 준전문가),일반검정,38,2019-03-23,09:00:00,2018-12-27,2019-03-04,제38회 DAsP: (대전) 예람인재교육센터 2층,2019-04-23,필기
672,DAsP(데이터아키텍처 준전문가),일반검정,38,2019-03-23,09:00:00,2018-12-27,2019-03-04,제38회 DAsP: (서울) 동국대학교 문화관 3층 ,2019-04-23,필기
673,DAsP(데이터아키텍처 준전문가),일반검정,38,2019-03-23,09:00:00,2018-12-27,2019-03-04,제38회 DAsP: (부산) 부산디자인센터 3층 세미나실 A,2019-04-23,필기
674,ADP(국가공인 데이터분석 전문가),일반검정,12,2019-03-30,13:00:00,2019-01-10,2019-03-11,제12회 ADP(실기): (서울) 한국데이터산업진흥원,2019-04-30,실기
675,ADP(국가공인 데이터분석 전문가),일반검정,13,2019-06-01,10:00:00,2019-03-11,2019-05-13,제13회 ADP: (광주) 광주상공회의소 지하 1층,2019-07-02,필기
676,ADP(국가공인 데이터분석 전문가),일반검정,13,2019-06-01,10:00:00,2019-03-11,2019-05-13,제13회 ADP: (인천) 인하공업전문대학 5호관 3층,2019-07-02,필기
677,ADP(국가공인 데이터분석 전문가),일반검정,13,2019-06-01,10:00:00,2019-03-11,2019-05-13,제13회 ADP: (대전) 우송정보대학 국제경영센터 2층,2019-07-02,필기
678,ADP(국가공인 데이터분석 전문가),일반검정,13,2019-06-01,10:00:00,2019-03-11,2019-05-13,제13회 ADP: (부산) 벡스코 제2전시장 1층,2019-07-02,필기
679,ADP(국가공인 데이터분석 전문가),일반검정,13,2019-06-01,10:00:00,2019-03-11,2019-05-13,제13회 ADP: (대구) 계명대학교 대명캠퍼스 수산관 2층,2019-07-02,필기
680,ADP(국가공인 데이터분석 전문가),일반검정,13,2019-06-01,10:00:00,2019-03-11,2019-05-13,제13회 ADP: (서울) 동국대학교 문화관 2층,2019-07-02,필기
681,ADsP(국가공인 데이터분석 준전문가),일반검정,21,2019-06-01,10:00:00,2019-03-11,2019-05-13,"제21회 ADsP: (서울) 동국대 -문화관[0210001-0211000] / 경영관,사회과학관[0211001-0211944] / 혜화관[0211945-0212458]",2019-07-02,필기
682,ADsP(국가공인 데이터분석 준전문가),일반검정,21,2019-06-01,10:00:00,2019-03-11,2019-05-13,"제21회 ADsP: (대전) 우송정보대학 동캠퍼스 국제경영센터 2층, 4층",2019-07-02,필기
683,ADsP(국가공인 데이터분석 준전문가),일반검정,21,2019-06-01,10:00:00,2019-03-11,2019-05-13,제21회 ADsP: (광주) 광주상공회의소 지하 1층,2019-07-02,필기
684,ADsP(국가공인 데이터분석 준전문가),일반검정,21,2019-06-01,10:00:00,2019-03-11,2019-05-13,제21회 ADsP: (부산) 벡스코 제2전시장 1층,2019-07-02,필기
685,ADsP(국가공인 데이터분석 준전문가),일반검정,21,2019-06-01,10:00:00,2019-03-11,2019-05-13,"제21회 ADsP: (대구) 계명대학교 대명캠퍼스 수산관 3층, 4층",2019-07-02,필기
686,ADsP(국가공인 데이터분석 준전문가),일반검정,21,2019-06-01,10:00:00,2019-03-11,2019-05-13,제21회 ADsP: (인천) 인하공업전문대학 5호관 3층,2019-07-02,필기
687,SQLP(국가공인 SQL 전문가),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLP : (광주) 광주상공회의소 지하1층,2019-07-09,필기
688,SQLP(국가공인 SQL 전문가),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLP : (부산) 벡스코 2전시장 1층,2019-07-09,필기
689,SQLP(국가공인 SQL 전문가),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLP : (대구) 영남이공대학 천마스퀘어 1층,2019-07-09,필기
690,SQLP(국가공인 SQL 전문가),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLP : (대전) 우송대학교 동캠퍼스 국제경영센터 2층,2019-07-09,필기
691,SQLP(국가공인 SQL 전문가),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLP : (인천) 인하공업전문대학 5호관 3층,2019-07-09,필기
692,SQLP(국가공인 SQL 전문가),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLP : (서울) 동국대학교 문화관 2층,2019-07-09,필기
693,SQLD(국가공인 SQL 개발자),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLD : (광주) 광주상공회의소 지하1층,2019-07-09,필기
694,SQLD(국가공인 SQL 개발자),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLD : (부산) 벡스코 2전시장 1층,2019-07-09,필기
695,SQLD(국가공인 SQL 개발자),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLD : (대구) 영남이공대학 천마스퀘어 1층,2019-07-09,필기
696,SQLD(국가공인 SQL 개발자),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLD : (대전) 우송대학교 동캠퍼스 국제경영센터 2층,2019-07-09,필기
697,SQLD(국가공인 SQL 개발자),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,제33회 SQLD : (인천) 인하공업전문대학 5호관 3층,2019-07-09,필기
698,SQLD(국가공인 SQL 개발자),일반검정,33,2019-06-08,10:00:00,2019-03-19,2019-05-20,"제33회 SQLD : (서울) 동국대학교 -문화관[0330001-0331110] / 경영관,사회과학관[0331111-0331932]",2019-07-09,필기
699,DAP(국가공인 데이터아키텍처 전문가),일반검정,44,2019-06-15,09:00:00,2019-03-26,2019-05-27,제44회 DAP : (부산) 벡스코 2전시장 1층,2019-07-16,필기
700,DAP(국가공인 데이터아키텍처 전문가),일반검정,44,2019-06-15,09:00:00,2019-03-26,2019-05-27,제44회 DAP : (대전) 예람인재교육센터 3층,2019-07-16,필기
701,DAP(국가공인 데이터아키텍처 전문가),일반검정,44,2019-06-15,09:00:00,2019-03-26,2019-05-27,제44회 DAP : (서울) 동국대학교 문화관 3층,2019-07-16,필기
702,DAsP(데이터아키텍처 준전문가),일반검정,39,2019-06-15,09:00:00,2019-03-26,2019-05-27,제39회 DAsP : (부산) 벡스코 2전시장 1층,2019-07-16,필기
703,DAsP(데이터아키텍처 준전문가),일반검정,39,2019-06-15,09:00:00,2019-03-26,2019-05-27,제39회 DAsP : (대전) 예람인재교육센터 3층,2019-07-16,필기
704,DAsP(데이터아키텍처 준전문가),일반검정,39,2019-06-15,09:00:00,2019-03-26,2019-05-27,제39회 DAsP : (서울) 동국대학교 문화관 3층,2019-07-16,필기
705,ADP(국가공인 데이터분석 전문가),일반검정,13,2019-06-29,13:00:00,2019-04-02,2019-06-10,제13회 ADP(실기): (서울) 한국데이터산업진흥원 7층,2019-07-30,실기
706,DAP(국가공인 데이터아키텍처 전문가),일반검정,45,2019-08-17,09:00:00,2019-06-18,2019-07-29,제45회 DAP : (부산) 벡스코 2전시장 1층,2019-09-17,필기
707,DAP(국가공인 데이터아키텍처 전문가),일반검정,45,2019-08-17,09:00:00,2019-06-18,2019-07-29,제45회 DAP : (대전) 우송정보대학 국제경영센터 2층,2019-09-17,필기
708,DAP(국가공인 데이터아키텍처 전문가),일반검정,45,2019-08-17,09:00:00,2019-06-18,2019-07-29,제45회 DAP : (서울) 동국대학교 문화관 3층,2019-09-17,필기
709,DAsP(데이터아키텍처 준전문가),일반검정,40,2019-08-17,09:00:00,2019-06-18,2019-07-29,제40회 DAsP : (부산) 벡스코 2전시장 1층,2019-09-17,필기
710,DAsP(데이터아키텍처 준전문가),일반검정,40,2019-08-17,09:00:00,2019-06-18,2019-07-29,제40회 DAsP : (대전) 우송정보대학 국제경영센터 2층  ,2019-09-17,필기
711,DAsP(데이터아키텍처 준전문가),일반검정,40,2019-08-17,09:00:00,2019-06-18,2019-07-29,제40회 DAsP : (서울) 동국대학교 문화관 3층,2019-09-17,필기
712,SQLD(국가공인 SQL 개발자),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,제34회 SQLD : (광주) 김대중컨벤션센터 2층 208~210호,2019-09-24,필기
713,SQLD(국가공인 SQL 개발자),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,제34회 SQLD : (부산) 벡스코 제1전시장 3층 315~317호,2019-09-24,필기
714,SQLD(국가공인 SQL 개발자),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,제34회 SQLD : (대구) 영남이공대 천마스퀘어 1층,2019-09-24,필기
715,SQLD(국가공인 SQL 개발자),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,"제34회 SQLD : (대전) 우송대학교 동캠퍼스 국제경영센터 2층(202~204호),4층(406호)",2019-09-24,필기
716,SQLD(국가공인 SQL 개발자),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,"제34회 SQLD : (인천) 인하공업전문대학 5호관 2층(215호),3층(310~318호)",2019-09-24,필기
717,SQLD(국가공인 SQL 개발자),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,"제34회 SQLD : (서울) 동국대학교 문화관[0340001~0341144], 경영관[0341145~0342035], 혜화관[0342036~0342532]",2019-09-24,필기
718,SQLP(국가공인 SQL 전문가),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,제34회 SQLP : (광주) 김대중컨벤션센터 2층 208호,2019-09-24,필기
719,SQLP(국가공인 SQL 전문가),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,제34회 SQLP : (부산) 벡스코 1전시장 3층 314호,2019-09-24,필기
720,SQLP(국가공인 SQL 전문가),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,제34회 SQLP : (대구) 영남이공대 천마스퀘어 1층,2019-09-24,필기
721,SQLP(국가공인 SQL 전문가),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,제34회 SQLP : (대전) 우송대학교 동캠퍼스 국제경영센터 2층 201호,2019-09-24,필기
722,SQLP(국가공인 SQL 전문가),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,제34회 SQLP : (인천) 인하공업전문대학 5호관 3층 309호,2019-09-24,필기
723,SQLP(국가공인 SQL 전문가),일반검정,34,2019-08-24,10:00:00,2019-06-11,2019-08-05,제34회 SQLP : (서울) 동국대학교 문화관 2층,2019-09-24,필기
724,ADP(국가공인 데이터분석 전문가),일반검정,14,2019-08-31,10:00:00,2019-06-04,2019-08-12,제14회 ADP(필기): (서울) 동국대학교 문화관 2층,2019-10-01,필기
725,ADP(국가공인 데이터분석 전문가),일반검정,14,2019-08-31,10:00:00,2019-06-04,2019-08-12,제14회 ADP(필기): (인천) 인하공업전문대학 5호관 3층,2019-10-01,필기
726,ADP(국가공인 데이터분석 전문가),일반검정,14,2019-08-31,10:00:00,2019-06-04,2019-08-12,제14회 ADP(필기): (대전) 우송대학교 동캠퍼스 국제경영센터 2층,2019-10-01,필기
727,ADP(국가공인 데이터분석 전문가),일반검정,14,2019-08-31,10:00:00,2019-06-04,2019-08-12,제14회 ADP(필기): (광주) 김대중컨벤션센터 컨벤션동 3층 중소회의실,2019-10-01,필기
728,ADP(국가공인 데이터분석 전문가),일반검정,14,2019-08-31,10:00:00,2019-06-04,2019-08-12,제14회 ADP(필기): 벡스코 제1전시장 2층 회의실,2019-10-01,필기
729,ADP(국가공인 데이터분석 전문가),일반검정,14,2019-08-31,10:00:00,2019-06-04,2019-08-12,제14회 ADP(필기): (대구) 영남이공대 천마스퀘어 1층,2019-10-01,필기
730,ADsP(국가공인 데이터분석 준전문가),일반검정,22,2019-08-31,10:00:00,2019-06-04,2019-08-12,"제22회 ADsP: (서울) 동국대학교 문화관[0220001~0220990], 경영관[0220991~0221881], 혜화관[0221882~0222377], 학림관[0222378~0223052]",2019-10-01,필기
731,ADsP(국가공인 데이터분석 준전문가),일반검정,22,2019-08-31,10:00:00,2019-06-04,2019-08-12,제22회 ADsP: (광주) 김대중컨벤션센터 컨벤션동 3층 중소회의실,2019-10-01,필기
732,ADsP(국가공인 데이터분석 준전문가),일반검정,22,2019-08-31,10:00:00,2019-06-04,2019-08-12,"제22회 ADsP: (부산) 벡스코 제1전시장 2층, 3층 회의실",2019-10-01,필기
733,ADsP(국가공인 데이터분석 준전문가),일반검정,22,2019-08-31,10:00:00,2019-06-04,2019-08-12,"제22회 ADsP: (대구) 영남이공대 - 천마스퀘어관 1층[0223449~0223542], 예지관 4층[0223543~0223647]",2019-10-01,필기
734,ADsP(국가공인 데이터분석 준전문가),일반검정,22,2019-08-31,10:00:00,2019-06-04,2019-08-12,제22회 ADsP: (대전) 우송대학교 동캠퍼스 국제경영센터 2층 / 6층,2019-10-01,필기
735,ADsP(국가공인 데이터분석 준전문가),일반검정,22,2019-08-31,10:00:00,2019-06-04,2019-08-12,제22회 ADsP: (인천) 인하공업전문대학 5호관 3층,2019-10-01,필기
736,ADP(국가공인 데이터분석 전문가),일반검정,14,2019-09-07,13:00:00,2019-07-02,2019-08-19,제14회 ADP(실기): (서울) 한국데이터산업진흥원/웹타임교육센터,2019-10-08,실기
737,ADP(국가공인 데이터분석 전문가),일반검정,15,2019-11-23,10:00:00,2019-09-03,2019-11-04,제15회 ADP(필기): (광주) 조선이공대 3호관 4층,2019-12-24,필기
738,ADP(국가공인 데이터분석 전문가),일반검정,15,2019-11-23,10:00:00,2019-09-03,2019-11-04,제15회 ADP(필기): (부산) 경성대학교 건학기념관(30호관),2019-12-24,필기
739,ADP(국가공인 데이터분석 전문가),일반검정,15,2019-11-23,10:00:00,2019-09-03,2019-11-04,제15회 ADP(필기): (대구) 영남이공대 천마스퀘어관,2019-12-24,필기
740,ADP(국가공인 데이터분석 전문가),일반검정,15,2019-11-23,10:00:00,2019-09-03,2019-11-04,제15회 ADP(필기): (대전) 우송정보대 학술정보관,2019-12-24,필기
741,ADP(국가공인 데이터분석 전문가),일반검정,15,2019-11-23,10:00:00,2019-09-03,2019-11-04,제15회 ADP(필기): (인천) 인하대학교 9호관,2019-12-24,필기
742,ADP(국가공인 데이터분석 전문가),일반검정,15,2019-11-23,10:00:00,2019-09-03,2019-11-04,제15회 ADP(필기): (서울) 동국대학교 문화관 2층,2019-12-24,필기
743,ADsP(국가공인 데이터분석 준전문가),일반검정,23,2019-11-23,10:00:00,2019-09-03,2019-11-04,제23회 ADsP: (광주) 조선이공대 3호관 4층,2019-12-24,필기
744,ADsP(국가공인 데이터분석 준전문가),일반검정,23,2019-11-23,10:00:00,2019-09-03,2019-11-04,제23회 ADsP: (부산) 경성대학교 건학기념관(30호관) 6층,2019-12-24,필기
745,ADsP(국가공인 데이터분석 준전문가),일반검정,23,2019-11-23,10:00:00,2019-09-03,2019-11-04,제23회 ADsP: (대구) 영남이공대 천마스퀘어관,2019-12-24,필기
746,ADsP(국가공인 데이터분석 준전문가),일반검정,23,2019-11-23,10:00:00,2019-09-03,2019-11-04,제23회 ADsP: (대전) 우송정보대 학술정보관,2019-12-24,필기
747,ADsP(국가공인 데이터분석 준전문가),일반검정,23,2019-11-23,10:00:00,2019-09-03,2019-11-04,제23회 ADsP: (인천) 인하대학교 9호관,2019-12-24,필기
748,ADsP(국가공인 데이터분석 준전문가),일반검정,23,2019-11-23,10:00:00,2019-09-03,2019-11-04,"제23회 ADsP: (서울) 동국대학교 문화관, 경영관, 혜화관, 학림관",2019-12-24,필기
749,SQLD(국가공인 SQL 개발자),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,"제35회 SQLD : (서울) 건국대학교 공학관, 인문학관, 경영관, 법학관 [수험번호 별 상세장소 약도참조]",2019-12-31,필기
750,SQLD(국가공인 SQL 개발자),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,제35회 SQLD : (광주) 김대중컨벤션센터 211~214호,2019-12-31,필기
751,SQLD(국가공인 SQL 개발자),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,제35회 SQLD : (부산) 한영평생교육원 2층,2019-12-31,필기
752,SQLD(국가공인 SQL 개발자),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,"제35회 SQLD : (대구) 영남이공대학 천마스퀘어 1층, 예지관 4층",2019-12-31,필기
753,SQLD(국가공인 SQL 개발자),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,"제35회 SQLD : (대전) 우송정보대학 학술정보관 7,8층",2019-12-31,필기
754,SQLD(국가공인 SQL 개발자),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,"제35회 SQLD : (인천) 인하공업전문대학 3호관 3,4층",2019-12-31,필기
755,SQLP(국가공인 SQL 전문가),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,"제35회 SQLP : (인천) 인하공업전문대학 3호관 3,4층",2019-12-31,필기
756,SQLP(국가공인 SQL 전문가),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,제35회 SQLP : (광주) 김대중컨벤션센터 211호,2019-12-31,필기
757,SQLP(국가공인 SQL 전문가),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,제35회 SQLP : (부산) 한영평생교육원 2층,2019-12-31,필기
758,SQLP(국가공인 SQL 전문가),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,제35회 SQLP : (대구) 영남이공대학 천마스퀘어 1층,2019-12-31,필기
759,SQLP(국가공인 SQL 전문가),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,"제35회 SQLP : (대전) 우송정보대학 학술정보관 7,8층",2019-12-31,필기
760,SQLP(국가공인 SQL 전문가),일반검정,35,2019-11-30,10:00:00,2019-08-27,2019-11-11,제35회 SQLP : (서울) 건국대학교 공학관 B동,2019-12-31,필기
761,DAsP(데이터아키텍처 준전문가),특별검정,18,2019-12-04,18:30:00,2019-11-19,2019-11-29,제18회 특별검정 DAsP: (삼육대학교) 장근청홀(국제교육관) 3층,2019-12-31,필기
762,DAP(국가공인 데이터아키텍처 전문가),일반검정,46,2019-12-07,09:00:00,2019-08-20,2019-11-18,제46회 DAP : (부산) 벡스코 1전시장 214호,2020-01-07,필기
763,DAP(국가공인 데이터아키텍처 전문가),일반검정,46,2019-12-07,09:00:00,2019-08-20,2019-11-18,제46회 DAP : (서울) 동국대학교 문화관 3층,2020-01-07,필기
764,DAP(국가공인 데이터아키텍처 전문가),일반검정,46,2019-12-07,09:00:00,2019-08-20,2019-11-18,제46회 DAP : (대전) 우송정보대학 국제경영센터 2층,2020-01-07,필기
765,DAsP(데이터아키텍처 준전문가),일반검정,41,2019-12-07,09:00:00,2019-08-20,2019-11-18,제41회 DAsP : (부산) 벡스코 1전시장 214호,2020-01-07,필기
766,DAsP(데이터아키텍처 준전문가),일반검정,41,2019-12-07,09:00:00,2019-08-20,2019-11-18,제41회 DAsP : (서울) 동국대학교 문화관 3층,2020-01-07,필기
767,DAsP(데이터아키텍처 준전문가),일반검정,41,2019-12-07,09:00:00,2019-08-20,2019-11-18,제41회 DAsP : (대전) 우송정보대학 국제경영센터 2층,2020-01-07,필기
768,ADP(국가공인 데이터분석 전문가),일반검정,15,2019-12-14,13:00:00,2019-09-10,2019-11-25,제15회 ADP(실기): (서울) 한국데이터산업진흥원/그린컴퓨터(종로)/더블유컴퓨터아트학원(혜화),2020-01-14,실기
769,SQLD(국가공인 SQL 개발자),일반검정,37,2020-05-31,10:00:00,2020-03-16,2020-05-17,제37회 SQL 개발자(SQLD),2020-06-30,필기
770,SQLP(국가공인 SQL 전문가),일반검정,37,2020-05-31,10:00:00,2020-03-16,2020-05-17,제37회 SQL 전문가(SQLP),2020-06-30,필기
771,ADsP(국가공인 데이터분석 준전문가),일반검정,25,2020-06-07,10:00:00,2020-03-09,2020-05-17,제25회 데이터분석 준전문가(ADsP),2020-07-07,필기
772,ADP(국가공인 데이터분석 전문가),일반검정,17,2020-06-07,10:00:00,2020-03-09,2020-05-17,제17회 데이터분석 전문가(ADP)-필기,2020-07-07,필기
773,DAsP(데이터아키텍처 준전문가),일반검정,43,2020-06-14,09:00:00,2020-03-19,2020-05-21,제43회 데이터아키텍처 준전문가(DAsP),2020-07-14,필기
774,DAP(국가공인 데이터아키텍처 전문가),일반검정,48,2020-06-14,09:00:00,2020-03-19,2020-05-21,제48회 데이터아키텍처 전문가(DAP),2020-07-14,필기
775,ADP(국가공인 데이터분석 전문가),일반검정,17,2020-06-21,13:00:00,2020-03-19,2020-05-28,제17회 데이터 분석 전문가(ADP)-실기,2020-07-21,실기
776,ADP(국가공인 데이터분석 전문가),일반검정,18,2020-08-29,10:00:00,2020-06-08,2020-08-03,제18회 데이터분석 전문가(ADP)-필기,2020-09-29,필기
777,ADsP(국가공인 데이터분석 준전문가),일반검정,26,2020-08-29,10:00:00,2020-06-08,2020-08-03,제26회 데이터분석 준전문가(ADsP),2020-09-29,필기
778,SQLP(국가공인 SQL 전문가),일반검정,38,2020-09-05,10:00:00,2020-06-05,2020-08-11,제38회 SQL 전문가(SQLP),2020-10-06,필기
779,SQLD(국가공인 SQL 개발자),일반검정,38,2020-09-05,10:00:00,2020-06-05,2020-08-11,제38회 SQL 개발자(SQLD),2020-10-06,필기
780,DAP(국가공인 데이터아키텍처 전문가),일반검정,49,2020-09-12,09:00:00,2020-06-29,2020-08-17,제49회 데이터아키텍처 전문가(DAP),2020-10-13,필기
781,DAsP(데이터아키텍처 준전문가),일반검정,44,2020-09-12,09:00:00,2020-06-29,2020-08-17,제44회 데이터아키텍처 준전문가(DAsP),2020-10-13,필기
782,ADP(국가공인 데이터분석 전문가),일반검정,18,2020-09-19,13:00:00,2020-06-29,2020-08-24,제18회 데이터 분석 전문가(ADP)-실기,2020-10-20,실기
783,ADP(국가공인 데이터분석 전문가),일반검정,19,2020-11-22,10:00:00,2020-09-07,2020-10-26,제19회 데이터분석 전문가(ADP)-필기,2020-12-22,필기
784,ADsP(국가공인 데이터분석 준전문가),일반검정,27,2020-11-22,10:00:00,2020-09-07,2020-10-26,제27회 데이터분석 준전문가(ADsP),2020-12-22,필기
785,SQLP(국가공인 SQL 전문가),일반검정,39,2020-11-29,10:00:00,2020-09-14,2020-11-02,제39회 SQL 전문가(SQLP),2020-12-29,필기
786,SQLD(국가공인 SQL 개발자),일반검정,39,2020-11-29,10:00:00,2020-09-14,2020-11-02,제39회 SQL 개발자(SQLD),2020-12-29,필기
787,DAP(국가공인 데이터아키텍처 전문가),일반검정,50,2020-12-06,09:00:00,2020-09-21,2020-11-09,제50회 데이터아키텍처 전문가(DAP),2021-01-05,필기
788,DAsP(데이터아키텍처 준전문가),일반검정,45,2020-12-06,09:00:00,2020-09-21,2020-11-09,제45회 데이터아키텍처 준전문가(DAsP),2021-01-05,필기
789,ADP(국가공인 데이터분석 전문가),일반검정,19,2020-12-13,13:00:00,2020-09-28,2020-11-16,제19회 데이터 분석 전문가(ADP)-실기,2021-01-12,실기
790,DAsP(데이터아키텍처 준전문가),특별검정,19,2020-12-21,16:00:00,2020-12-07,2020-12-11,제19회 데이터아키텍처 준전문가(DAsP),2020-12-24,필기
791,ADP(국가공인 데이터분석 전문가),일반검정,20,2021-03-13,10:00:00,2021-02-16,2021-02-22,제20회 데이터분석 전문가(ADP)-필기,2021-04-09,필기
